City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,khorugh,37.4897,71.553,3.9,46,100,0.82,TJ,1700958102
347,king city,36.2127,-121.126,17.57,34,1,0.63,US,1700958103
348,valle de la pascua,9.2155,-66.0073,25.04,79,94,3.91,VE,1700958104
349,qarchi gak,37.04,66.7889,14.57,19,100,2.15,AF,1700958105
350,wladyslawowo,54.7909,18.4009,1.07,63,100,8.86,PL,1700958106
351,belo sur tsiribihina,-19.7,44.55,24.94,91,45,1.1,MG,1700958107
352,kirawsk,53.2686,29.4736,-3.27,98,83,2.05,BY,1700958108
353,kurchum,48.5722,83.6542,-0.56,84,79,1.68,KZ,1700958109
354,swanzey,42.8698,-72.2818,-0.78,74,0,0.45,US,1700958110
355,urengoy,65.9667,78.3667,-18.59,78,5,5.69,RU,1700958111
356,oyem,1.5995,11.5793,19.88,99,97,1.01,GA,1700958111
357,iturama,-19.7281,-50.1956,25.46,64,17,3.01,BR,1700958112
358,antofagasta,-23.65,-70.4,17.6,81,44,2.6,CL,1700958113
359,kodiak,57.79,-152.4072,5.73,100,100,3.09,US,1700958114
360,santa marta de ortigueira,43.6833,-7.85,11.25,74,80,3.92,ES,1700958115
361,andradina,-20.8961,-51.3794,24.64,61,57,4.77,BR,1700958115
362,tadine,-21.55,167.8833,24.14,64,62,4.79,NC,1700958116
